GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
ST5,6764,3115.617472,-1.148957014,1.57E-28,1E-26
SCN5A,6331,47.59881527,-1.986816179,1.76E-28,1.12E-26
LYVE1,10894,179.1973185,-2.344790608,1.88E-28,1.18E-26
ARVCF,421,1872.350655,0.892941684,1.97E-28,1.24E-26
MUC15,143662,150.982955,-2.80791469,1.99E-28,1.25E-26
DUOXA2,405753,65.88400253,-3.00681198,2.19E-28,1.37E-26
IL1RL1,9173,54.89014161,-2.812390198,2.31E-28,1.44E-26
APOC1,341,1044.811496,2.362806596,2.34E-28,1.45E-26
MSLN,10232,291.8244966,-3.300014844,2.48E-28,1.54E-26
EYA4,2070,326.6883209,-1.819808546,2.62E-28,1.61E-26
BDH1,622,2450.769424,0.971919971,2.64E-28,1.62E-26
TRIM61,391712,8.014817568,-2.105568307,2.69E-28,1.65E-26
PLAG1,5324,130.431426,-1.665407517,2.72E-28,1.66E-26
RHPN1,114822,1276.693673,1.617961515,2.89E-28,1.76E-26
SCPEP1,59342,4202.293334,-0.978147239,2.97E-28,1.81E-26
KLHL17,339451,316.2703243,1.110133601,3.01E-28,1.82E-26
,4213,716.494574,-1.110657609,3.16E-28,1.91E-26
STAT5B,6777,4211.735506,-0.608075193,3.31E-28,1.98E-26
MYLK,4638,44815.90065,-1.938253538,3.32E-28,1.98E-26
TMEM171,134285,9.378177492,-3.103658183,3.31E-28,1.98E-26
DOK4,55715,954.8029917,-1.163087909,3.53E-28,2.09E-26
TMEM253,643382,28.82485514,-2.065696798,3.5E-28,2.09E-26
AMH,268,38.45721255,3.162174018,4.12E-28,2.44E-26
SGCB,6443,2040.471563,-1.118731603,4.32E-28,2.55E-26
CBX7,23492,4708.90329,-0.923662553,4.48E-28,2.64E-26
ESRP2,80004,4001.357425,1.021097548,4.66E-28,2.74E-26
CALD1,800,35586.74545,-1.297648328,5.5E-28,3.22E-26
SLC9A4,389015,5.813992821,-3.530507653,5.66E-28,3.3E-26
HCAR2,338442,244.2165659,-2.146437339,6.62E-28,3.85E-26
LCA5,167691,316.1151146,-1.18850583,6.7E-28,3.88E-26
ANP32E,81611,1217.313501,-1.190902144,6.84E-28,3.96E-26
SLCO2A1,6578,4185.619554,-1.784254666,7.15E-28,4.12E-26
CLEC18B,497190,27.50389062,2.428940797,8.98E-28,5.16E-26
PRDM11,56981,60.00375854,-1.154536026,9.08E-28,5.2E-26
CDC20,991,230.0206562,2.036767605,9.12E-28,5.21E-26
,654434,384.6912814,0.920595598,1.01E-27,5.73E-26
CCDC69,26112,1908.630686,-1.415715835,1.1E-27,6.25E-26
SAMD12,401474,566.9411175,-1.810919706,1.41E-27,7.96E-26
INPP5F,22876,902.3078865,-0.738776628,1.43E-27,8.05E-26
NEURL1B,54492,2076.025064,-1.256688652,1.65E-27,9.27E-26
RBFOX2,23543,4347.44171,-0.719007208,1.67E-27,9.36E-26
CORO1C,23603,3463.732519,-1.054525413,1.71E-27,9.57E-26
KPNA3,3839,1465.617442,-0.824307225,1.92E-27,1.07E-25
MUC6,4588,13629.06257,-4.82587659,2.06E-27,1.14E-25
PLEKHA1,59338,1419.968158,-0.700448614,2.09E-27,1.16E-25
SEPT10,151011,2632.919376,-0.745019026,2.25E-27,1.24E-25
,751867,760.2378166,1.380642836,2.38E-27,1.31E-25
SLC4A5,57835,457.5823429,1.017979445,2.44E-27,1.34E-25
PODXL2,50512,6056.209213,1.536790429,2.52E-27,1.38E-25
FAM212B,55924,141.0715935,-1.202050164,2.55E-27,1.4E-25
ARHGAP23,57636,1461.891272,-1.497859635,2.61E-27,1.42E-25
FERMT2,10979,3400.40206,-1.321724444,2.81E-27,1.53E-25
METTL3,56339,2177.433495,0.594287389,2.87E-27,1.56E-25
WDR1,9948,13151.80164,-0.574751845,2.88E-27,1.56E-25
SLC25A45,283130,616.4460068,1.179992928,3.2E-27,1.72E-25
PATE1,160065,2415.109845,-6.132063825,3.27E-27,1.76E-25
PHGR1,644844,148.7629995,3.451564183,3.36E-27,1.8E-25
CLDN19,149461,7.825904422,-2.830692932,3.39E-27,1.81E-25
PPP1R12A,4659,4291.050797,-0.885201446,3.41E-27,1.82E-25
DUSP3,1845,5423.412498,-0.773452032,3.47E-27,1.85E-25
YAP1,10413,6589.319437,-0.881769761,3.96E-27,2.1E-25
